Theta,	Phi,	Horizontal Power Gain,	Vertical Power Gain,	Total Power Gain,	etheta_magnitude,	etheta_phase,	ephi_magnitude,	ephi_phase
0,	-90  ,	-39.6831  ,	-1.95762  ,	-1.95689  ,	0.000510402  ,	-131.881  ,	0.028125  ,	2.38523
7.2,	-90  ,	-39.7252  ,	-2.31491  ,	-2.31412  ,	0.000709806  ,	-149.818  ,	0.0269869  ,	-0.650785
14.4,	-90  ,	-37.8263  ,	-3.16855  ,	-3.16707  ,	0.000923156  ,	-158.236  ,	0.0244538  ,	-7.61029
21.6,	-90  ,	-34.9419  ,	-4.6589  ,	-4.65483  ,	0.00113817  ,	-164.556  ,	0.0205876  ,	-18.2559
28.8,	-90  ,	-31.9548  ,	-7.10559  ,	-7.09139  ,	0.00136507  ,	-171.691  ,	0.0155155  ,	-32.4781
36,	-90  ,	-29.2644  ,	-11.2737  ,	-11.2052  ,	0.00158715  ,	179.051  ,	0.0095687  ,	-51.1684
43.2,	-90  ,	-26.7142  ,	-19.9074  ,	-19.0846  ,	0.00174664  ,	167.114  ,	0.00350427  ,	-84.0657
50.4,	-90  ,	-35.9034  ,	-20.8173  ,	-20.6847  ,	0.0017632  ,	152.153  ,	0.00273807  ,	130.117
57.6,	-90  ,	-30.202  ,	-14.8412  ,	-14.7166  ,	0.00157672  ,	133.305  ,	0.00627917  ,	88.735
64.8,	-90  ,	-31.6511  ,	-13.5756  ,	-13.5085  ,	0.00119978  ,	107.452  ,	0.00734283  ,	56.9028
72,	-90  ,	-34.9268  ,	-15.4851  ,	-15.4359  ,	0.000795511  ,	63.5338  ,	0.0059062  ,	10.6869
79.2,	-90  ,	-33.5631  ,	-14.8982  ,	-14.8396  ,	0.000788797  ,	-3.08995  ,	0.00633415  ,	-72.8428
86.4,	-90  ,	-29.5549  ,	-8.59493  ,	-8.56025  ,	0.00118285  ,	-46.5555  ,	0.0130989  ,	-129.153
93.6,	-90  ,	-27.005  ,	-4.11035  ,	-4.08811  ,	0.00157312  ,	-71.2599  ,	0.0219529  ,	-161.444
100.8,	-90  ,	-25.8129  ,	-1.49014  ,	-1.47412  ,	0.001823  ,	-88.7459  ,	0.0296815  ,	173.104
108,	-90  ,	-25.6889  ,	-0.395991  ,	-0.383172  ,	0.0019098  ,	-102.888  ,	0.033663  ,	150.567
115.2,	-90  ,	-26.5855  ,	-0.933839  ,	-0.922035  ,	0.00182126  ,	-115.222  ,	0.0316365  ,	129.838
122.4,	-90  ,	-28.9393  ,	-4.05269  ,	-4.03861  ,	0.00152418  ,	-125.449  ,	0.0220824  ,	110.311
129.6,	-90  ,	-36.4217  ,	-17.4076  ,	-17.3534  ,	0.000995458  ,	-127.869  ,	0.00467418  ,	85.0213
136.8,	-90  ,	-46.3797  ,	-5.00264  ,	-5.00233  ,	0.000534125  ,	-79.0295  ,	0.0198032  ,	-97.4876
144,	-90  ,	-28.4865  ,	2.82814  ,	2.83135  ,	0.00134483  ,	-31.7145  ,	0.0487991  ,	-112.228
151.2,	-90  ,	-22.3885  ,	7.03632  ,	7.04127  ,	0.00267733  ,	-32.418  ,	0.0792182  ,	-123.765
158.4,	-90  ,	-18.715  ,	9.68904  ,	9.69531  ,	0.00409427  ,	-39.0813  ,	0.107513  ,	-132.798
165.6,	-90  ,	-16.3793  ,	11.3655  ,	11.3728  ,	0.00535683  ,	-45.7227  ,	0.130401  ,	-139.337
172.8,	-90  ,	-15.0481  ,	12.306  ,	12.3139  ,	0.00623734  ,	-50.8915  ,	0.145314  ,	-143.33
180,	-90  ,	-14.6064  ,	12.6188  ,	12.627  ,	0.0065571  ,	-54.1782  ,	0.150642  ,	-144.738
187.2,	-90  ,	-15.0526  ,	12.3367  ,	12.3446  ,	0.0062326  ,	-55.6495  ,	0.145829  ,	-143.561
194.4,	-90  ,	-16.4958  ,	11.4305  ,	11.4375  ,	0.00530406  ,	-55.8451  ,	0.131381  ,	-139.845
201.6,	-90  ,	-19.2431  ,	9.79644  ,	9.80186  ,	0.00393961  ,	-56.29  ,	0.108847  ,	-133.692
208.8,	-90  ,	-24.1965  ,	7.20263  ,	7.20577  ,	0.00243204  ,	-61.9116  ,	0.0807423  ,	-125.27
216,	-90  ,	-36.445  ,	3.09546  ,	3.09594  ,	0.00132771  ,	-91.3454  ,	0.0503101  ,	-114.908
223.2,	-90  ,	-32.55  ,	-4.43678  ,	-4.43008  ,	0.00150775  ,	-137.361  ,	0.0211057  ,	-103.856
230.4,	-90  ,	-24.3698  ,	-19.1011  ,	-17.9709  ,	0.00218885  ,	-146.503  ,	0.00387571  ,	112.469
237.6,	-90  ,	-22.913  ,	-4.23826  ,	-4.17973  ,	0.00261757  ,	-140.299  ,	0.0216203  ,	114.097
244.8,	-90  ,	-22.4334  ,	-0.950384  ,	-0.919627  ,	0.0027065  ,	-128.463  ,	0.0315819  ,	131.263
252,	-90  ,	-22.991  ,	-0.326146  ,	-0.302697  ,	0.00251038  ,	-113.382  ,	0.0339382  ,	150.766
259.2,	-90  ,	-24.4783  ,	-1.34321  ,	-1.32216  ,	0.00210621  ,	-95.3382  ,	0.0301889  ,	172.176
266.4,	-90  ,	-27.0441  ,	-3.85825  ,	-3.83744  ,	0.00156623  ,	-73.1443  ,	0.0225994  ,	-163.997
273.6,	-90  ,	-31.1738  ,	-8.18444  ,	-8.16268  ,	0.000975029  ,	-42.0938  ,	0.0137336  ,	-135.338
280.8,	-90  ,	-36.9668  ,	-14.9724  ,	-14.945  ,	0.000525311  ,	17.7216  ,	0.00628415  ,	-90.2015
288,	-90  ,	-35.1659  ,	-18.8156  ,	-18.7161  ,	0.000630983  ,	100.353  ,	0.00403608  ,	-2.50822
295.2,	-90  ,	-31.2069  ,	-17.0256  ,	-16.8629  ,	0.000972025  ,	146.02  ,	0.00496237  ,	52.186
302.4,	-90  ,	-29.327  ,	-19.6714  ,	-19.225  ,	0.00121728  ,	179.493  ,	0.00365528  ,	81.5255
309.6,	-90  ,	-42.8103  ,	-28.4089  ,	-28.254  ,	0.00133806  ,	-150.036  ,	0.000256462  ,	-53.9711
316.8,	-90  ,	-28.9402  ,	-15.5725  ,	-15.377  ,	0.00136549  ,	-121.784  ,	0.00584265  ,	-54.005
324,	-90  ,	-29.853  ,	-9.31444  ,	-9.27624  ,	0.00131382  ,	-97.3712  ,	0.01204  ,	-37.6091
331.2,	-90  ,	-31.2769  ,	-5.89839  ,	-5.88582  ,	0.00116997  ,	-78.7711  ,	0.0178562  ,	-23.4059
338.4,	-90  ,	-33.1591  ,	-3.8486  ,	-3.84351  ,	0.000931903  ,	-68.1163  ,	0.0226186  ,	-11.8764
345.6,	-90  ,	-35.4504  ,	-2.64871  ,	-2.64643  ,	0.000648082  ,	-70.1077  ,	0.0259748  ,	-3.46122
352.8,	-90  ,	-37.8873  ,	-2.05708  ,	-2.05595  ,	0.000452745  ,	-95.5508  ,	0.027807  ,	1.40357
0,	-86.4  ,	-39.6831  ,	-1.95762  ,	-1.95689  ,	0.00145684  ,	-12.1154  ,	0.0280919  ,	2.43203
7.2,	-86.4  ,	-39.0369  ,	-2.30868  ,	-2.30776  ,	0.00119375  ,	-19.8819  ,	0.0269896  ,	-0.607826
14.4,	-86.4  ,	-36.8348  ,	-3.15477  ,	-3.15291  ,	0.00100346  ,	-37.9483  ,	0.0244906  ,	-7.55915
21.6,	-86.4  ,	-34.0617  ,	-4.63416  ,	-4.62921  ,	0.000933167  ,	-66.6265  ,	0.0206588  ,	-18.1707
28.8,	-86.4  ,	-31.393  ,	-7.06225  ,	-7.04626  ,	0.00102421  ,	-100.269  ,	0.015623  ,	-32.2905
36,	-86.4  ,	-29.1717  ,	-11.1946  ,	-11.126  ,	0.00124254  ,	-131.302  ,	0.00970919  ,	-50.6378
43.2,	-86.4  ,	-27.8331  ,	-19.6819  ,	-19.0634  ,	0.00147542  ,	-158.274  ,	0.00363715  ,	-81.3502
50.4,	-86.4  ,	-30.5054  ,	-22.1321  ,	-21.5424  ,	0.00159333  ,	176.689  ,	0.00248325  ,	129.591
57.6,	-86.4  ,	-28.4195  ,	-15.2609  ,	-15.0559  ,	0.00150329  ,	150.886  ,	0.00604183  ,	87.3867
64.8,	-86.4  ,	-30.2591  ,	-13.829  ,	-13.7313  ,	0.00119906  ,	120.099  ,	0.00715197  ,	55.3602
72,	-86.4  ,	-33.3996  ,	-15.605  ,	-15.5334  ,	0.000832234  ,	73.5725  ,	0.00583398  ,	8.48593
79.2,	-86.4  ,	-32.9174  ,	-14.748  ,	-14.6823  ,	0.000809798  ,	5.65821  ,	0.00644908  ,	-73.9915
86.4,	-86.4  ,	-29.4704  ,	-8.54251  ,	-8.50757  ,	0.00118693  ,	-43.0768  ,	0.0131788  ,	-129.327
93.6,	-86.4  ,	-27.0267  ,	-4.11397  ,	-4.09182  ,	0.00157086  ,	-74.2182  ,	0.0219436  ,	-161.569
100.8,	-86.4  ,	-25.8602  ,	-1.51793  ,	-1.50198  ,	0.00179777  ,	-100.377  ,	0.0295876  ,	172.943
108,	-86.4  ,	-25.7015  ,	-0.437683  ,	-0.424778  ,	0.00184671  ,	-127.829  ,	0.0335052  ,	150.357
115.2,	-86.4  ,	-26.4492  ,	-0.986439  ,	-0.974111  ,	0.00180436  ,	-162.062  ,	0.0314478  ,	129.555
122.4,	-86.4  ,	-28.2784  ,	-4.1118  ,	-4.09519  ,	0.00194657  ,	154.22  ,	0.0219049  ,	109.844
129.6,	-86.4  ,	-29.9713  ,	-16.681  ,	-16.482  ,	0.00263628  ,	111.017  ,	0.00457859  ,	82.444
136.8,	-86.4  ,	-40.4665  ,	-4.81438  ,	-4.81319  ,	0.00390861  ,	78.0792  ,	0.0198656  ,	-96.926
144,	-86.4  ,	-28.2215  ,	2.87304  ,	2.87641  ,	0.00555945  ,	53.7006  ,	0.0487556  ,	-111.971
151.2,	-86.4  ,	-22.3748  ,	7.05277  ,	7.05772  ,	0.00736021  ,	34.9747  ,	0.0790718  ,	-123.581
158.4,	-86.4  ,	-18.7309  ,	9.69496  ,	9.70119  ,	0.00907875  ,	20.5894  ,	0.10728  ,	-132.636
165.6,	-86.4  ,	-16.392  ,	11.3669  ,	11.3742  ,	0.0104813  ,	10.1187  ,	0.130111  ,	-139.181
172.8,	-86.4  ,	-15.0535  ,	12.3058  ,	12.3138  ,	0.0113567  ,	3.48953  ,	0.145  ,	-143.174
180,	-86.4  ,	-14.6064  ,	12.6188  ,	12.627  ,	0.0115545  ,	0.76637  ,	0.150342  ,	-144.581
187.2,	-86.4  ,	-15.0497  ,	12.3384  ,	12.3463  ,	0.0110228  ,	2.10021  ,	0.145573  ,	-143.404
194.4,	-86.4  ,	-16.4923  ,	11.4354  ,	11.4424  ,	0.00983173  ,	7.77265  ,	0.131193  ,	-139.692
201.6,	-86.4  ,	-19.2427  ,	9.807  ,	9.8124  ,	0.00817331  ,	18.3278  ,	0.108744  ,	-133.544
208.8,	-86.4  ,	-24.2238  ,	7.22382  ,	7.22693  ,	0.00633653  ,	34.8205  ,	0.0807276  ,	-125.127
216,	-86.4  ,	-36.9658  ,	3.14129  ,	3.14171  ,	0.00466402  ,	59.0645  ,	0.050378  ,	-114.759
223.2,	-86.4  ,	-31.2525  ,	-4.29034  ,	-4.28161  ,	0.00348381  ,	92.6415  ,	0.0212405  ,	-103.638
230.4,	-86.4  ,	-33.1862  ,	-17.5867  ,	-17.4687  ,	0.00293818  ,	132.19  ,	0.0036889  ,	112.834
237.6,	-86.4  ,	-23.7369  ,	-4.30084  ,	-4.25167  ,	0.00279726  ,	169.332  ,	0.0214167  ,	114.09
244.8,	-86.4  ,	-22.86  ,	-1.00022  ,	-0.972014  ,	0.00270469  ,	-159.044  ,	0.0313908  ,	131.279
252,	-86.4  ,	-23.2428  ,	-0.363751  ,	-0.341427  ,	0.0024788  ,	-131.028  ,	0.0337888  ,	150.803
259.2,	-86.4  ,	-24.604  ,	-1.3669  ,	-1.34634  ,	0.00208688  ,	-104.104  ,	0.0301059  ,	172.25
266.4,	-86.4  ,	-27.0755  ,	-3.85813  ,	-3.83748  ,	0.00156107  ,	-75.5437  ,	0.0225996  ,	-163.86
273.6,	-86.4  ,	-31.2084  ,	-8.12798  ,	-8.10667  ,	0.000973822  ,	-39.7931  ,	0.0138229  ,	-135.121
280.8,	-86.4  ,	-37.5948  ,	-14.7488  ,	-14.7263  ,	0.000512781  ,	24.5555  ,	0.00644651  ,	-90.3574
288,	-86.4  ,	-36.1214  ,	-18.6892  ,	-18.6115  ,	0.000636058  ,	114.511  ,	0.00408539  ,	-5.20792
295.2,	-86.4  ,	-31.4242  ,	-17.1093  ,	-16.9514  ,	0.00104518  ,	164.722  ,	0.00489507  ,	50.0405
302.4,	-86.4  ,	-29.6744  ,	-19.622  ,	-19.2128  ,	0.00141935  ,	-157.555  ,	0.0035875  ,	79.1879
309.6,	-86.4  ,	-40.4616  ,	-26.1106  ,	-25.954  ,	0.00174354  ,	-123.71  ,	0.000335159  ,	-38.0998
316.8,	-86.4  ,	-28.897  ,	-15.3386  ,	-15.1513  ,	0.00202731  ,	-93.5232  ,	0.00581481  ,	-53.2206
324,	-86.4  ,	-29.9419  ,	-9.2748  ,	-9.23771  ,	0.00223715  ,	-67.8551  ,	0.0119579  ,	-37.3264
331.2,	-86.4  ,	-31.6118  ,	-5.89828  ,	-5.88665  ,	0.00231849  ,	-46.9635  ,	0.0177419  ,	-23.2554
338.4,	-86.4  ,	-33.736  ,	-3.85835  ,	-3.85388  ,	0.0022446  ,	-30.7016  ,	0.0224991  ,	-11.7763
345.6,	-86.4  ,	-36.1568  ,	-2.65829  ,	-2.65635  ,	0.00203766  ,	-19.048  ,	0.0258731  ,	-3.38675
352.8,	-86.4  ,	-38.445  ,	-2.0626  ,	-2.0616  ,	0.00175432  ,	-12.4662  ,	0.0277372  ,	1.46135
0,	-82.8  ,	-39.6831  ,	-1.95762  ,	-1.95689  ,	0.00319222  ,	-4.13735  ,	0.027948  ,	2.47914
7.2,	-82.8  ,	-38.4074  ,	-2.30081  ,	-2.29975  ,	0.00289359  ,	-9.0116  ,	0.0268857  ,	-0.551972
14.4,	-82.8  ,	-35.9725  ,	-3.1348  ,	-3.13255  ,	0.0026006  ,	-19.9892  ,	0.0244307  ,	-7.48023
21.6,	-82.8  ,	-33.3103  ,	-4.59365  ,	-4.58782  ,	0.00232189  ,	-37.2878  ,	0.0206486  ,	-18.0386
28.8,	-82.8  ,	-30.9304  ,	-6.98153  ,	-6.96407  ,	0.00207432  ,	-61.0959  ,	0.0156687  ,	-32.0268
36,	-82.8  ,	-29.1623  ,	-11.013  ,	-10.947  ,	0.00189507  ,	-90.8613  ,	0.0098108  ,	-49.9783
43.2,	-82.8  ,	-29.2624  ,	-18.9304  ,	-18.5456  ,	0.00180032  ,	-124.064  ,	0.003757  ,	-78.4365
50.4,	-82.8  ,	-26.9427  ,	-23.6802  ,	-22.0017  ,	0.00172373  ,	-157.519  ,	0.00220461  ,	128.373
57.6,	-82.8  ,	-27.1859  ,	-15.6986  ,	-15.4007  ,	0.00155111  ,	169.282  ,	0.00577922  ,	85.6835
64.8,	-82.8  ,	-29.3013  ,	-14.1117  ,	-13.9822  ,	0.00123015  ,	132.746  ,	0.00693705  ,	53.548
72,	-82.8  ,	-32.3594  ,	-15.737  ,	-15.6435  ,	0.000873717  ,	82.6156  ,	0.00575282  ,	6.05297
79.2,	-82.8  ,	-32.4638  ,	-14.6102  ,	-14.5396  ,	0.000839316  ,	13.5847  ,	0.00655386  ,	-75.1533
86.4,	-82.8  ,	-29.4384  ,	-8.51713  ,	-8.48214  ,	0.00118875  ,	-39.6493  ,	0.0132176  ,	-129.507
93.6,	-82.8  ,	-27.0745  ,	-4.14845  ,	-4.12637  ,	0.00156777  ,	-77.1792  ,	0.0218563  ,	-161.701
100.8,	-82.8  ,	-25.8994  ,	-1.57705  ,	-1.56103  ,	0.00184737  ,	-111.929  ,	0.0293833  ,	172.774
108,	-82.8  ,	-25.6565  ,	-0.508012  ,	-0.494761  ,	0.00213031  ,	-150.214  ,	0.0332185  ,	150.141
115.2,	-82.8  ,	-26.1884  ,	-1.05543  ,	-1.04213  ,	0.00272811  ,	168.682  ,	0.0311345  ,	129.267
122.4,	-82.8  ,	-27.4349  ,	-4.1141  ,	-4.09393  ,	0.0039526  ,	131.968  ,	0.0216364  ,	109.377
129.6,	-82.8  ,	-27.9285  ,	-13.7591  ,	-13.5959  ,	0.00585988  ,	102.815  ,	0.00446262  ,	79.7994
136.8,	-82.8  ,	-36.4293  ,	-4.28042  ,	-4.27777  ,	0.00831179  ,	79.6314  ,	0.019865  ,	-96.3947
144,	-82.8  ,	-27.8811  ,	2.99823  ,	3.00178  ,	0.0110805  ,	60.7135  ,	0.0485362  ,	-111.725
151.2,	-82.8  ,	-22.3364  ,	7.10001  ,	7.10495  ,	0.0138886  ,	45.2503  ,	0.0786295  ,	-123.402
158.4,	-82.8  ,	-18.7364  ,	9.71386  ,	9.72006  ,	0.0164395  ,	33.0063  ,	0.106638  ,	-132.477
165.6,	-82.8  ,	-16.4003  ,	11.3732  ,	11.3805  ,	0.0184527  ,	24.0138  ,	0.129317  ,	-139.026
172.8,	-82.8  ,	-15.0577  ,	12.3068  ,	12.3147  ,	0.0196983  ,	18.4013  ,	0.14412  ,	-143.017
180,	-82.8  ,	-14.6064  ,	12.6188  ,	12.627  ,	0.0200298  ,	16.3106  ,	0.149449  ,	-144.423
187.2,	-82.8  ,	-15.0458  ,	12.341  ,	12.3489  ,	0.0194089  ,	17.8643  ,	0.144739  ,	-143.247
194.4,	-82.8  ,	-16.4838  ,	11.4449  ,	11.4519  ,	0.0179169  ,	23.164  ,	0.130481  ,	-139.538
201.6,	-82.8  ,	-19.2283  ,	9.83018  ,	9.83558  ,	0.0157466  ,	32.3063  ,	0.108202  ,	-133.394
208.8,	-82.8  ,	-24.2093  ,	7.2753  ,	7.27839  ,	0.0131729  ,	45.4128  ,	0.0803848  ,	-124.979
216,	-82.8  ,	-37.1556  ,	3.26626  ,	3.26666  ,	0.0105046  ,	62.6728  ,	0.0502401  ,	-114.602
223.2,	-82.8  ,	-30.7885  ,	-3.8083  ,	-3.7996  ,	0.00802953  ,	84.38  ,	0.0212886  ,	-103.397
230.4,	-82.8  ,	-49.6955  ,	-14.1553  ,	-14.1541  ,	0.00596601  ,	110.865  ,	0.00348085  ,	113.065
237.6,	-82.8  ,	-24.7281  ,	-4.29923  ,	-4.26006  ,	0.00442508  ,	142.075  ,	0.0211191  ,	114.044
244.8,	-82.8  ,	-23.3267  ,	-1.07012  ,	-1.04436  ,	0.00338071  ,	176.724  ,	0.0310623  ,	131.265
252,	-82.8  ,	-23.5186  ,	-0.435461  ,	-0.41416  ,	0.00267639  ,	-147.7  ,	0.0334903  ,	150.813
259.2,	-82.8  ,	-24.7556  ,	-1.42866  ,	-1.40852  ,	0.00211242  ,	-112.909  ,	0.0298883  ,	172.296
266.4,	-82.8  ,	-27.1366  ,	-3.89784  ,	-3.87728  ,	0.00155365  ,	-77.954  ,	0.0224963  ,	-163.752
273.6,	-82.8  ,	-31.2685  ,	-8.1134  ,	-8.09244  ,	0.000971026  ,	-37.5367  ,	0.0138459  ,	-134.933
280.8,	-82.8  ,	-38.3288  ,	-14.5747  ,	-14.5564  ,	0.000502172  ,	31.1446  ,	0.00657543  ,	-90.5056
288,	-82.8  ,	-37.7116  ,	-18.5676  ,	-18.515  ,	0.000664645  ,	128.191  ,	0.00412762  ,	-7.80923
295.2,	-82.8  ,	-32.1646  ,	-17.1591  ,	-17.0241  ,	0.00119721  ,	-179.591  ,	0.00481714  ,	47.8001
302.4,	-82.8  ,	-30.849  ,	-19.3426  ,	-19.046  ,	0.00177179  ,	-141.453  ,	0.00351118  ,	76.6738
309.6,	-82.8  ,	-38.3373  ,	-23.4949  ,	-23.3548  ,	0.00235525  ,	-108.716  ,	0.000433502  ,	-28.6946
316.8,	-82.8  ,	-29.0219  ,	-14.8928  ,	-14.7281  ,	0.00291508  ,	-80.4818  ,	0.00577108  ,	-52.4278
324,	-82.8  ,	-30.1294  ,	-9.17056  ,	-9.13587  ,	0.00338086  ,	-56.7174  ,	0.0118354  ,	-37.0619
331.2,	-82.8  ,	-32.0341  ,	-5.87195  ,	-5.86146  ,	0.00367904  ,	-37.2859  ,	0.0175635  ,	-23.1306
338.4,	-82.8  ,	-34.4082  ,	-3.85713  ,	-3.85331  ,	0.00377526  ,	-22.0788  ,	0.0222949  ,	-11.7011
345.6,	-82.8  ,	-36.9586  ,	-2.66405  ,	-2.66244  ,	0.00368815  ,	-11.2042  ,	0.0256715  ,	-3.33161
352.8,	-82.8  ,	-39.0523  ,	-2.06747  ,	-2.0666  ,	0.00347287  ,	-5.04009  ,	0.0275586  ,	1.50858
0,	-79.2  ,	-39.6831  ,	-1.95762  ,	-1.95689  ,	0.00493324  ,	-1.78828  ,	0.0276937  ,	2.52692
7.2,	-79.2  ,	-37.8303  ,	-2.29134  ,	-2.29013  ,	0.00461246  ,	-6.19422  ,	0.0266751  ,	-0.482853
14.4,	-79.2  ,	-35.2152  ,	-3.10885  ,	-3.10617  ,	0.00425443  ,	-15.7588  ,	0.0242734  ,	-7.37351
21.6,	-79.2  ,	-32.6614  ,	-4.53799  ,	-4.5313  ,	0.00385799  ,	-30.3437  ,	0.0205554  ,	-17.8605
28.8,	-79.2  ,	-30.5432  ,	-6.86562  ,	-6.84704  ,	0.00341954  ,	-49.9113  ,	0.0156506  ,	-31.6914
36,	-79.2  ,	-29.1948  ,	-10.7406  ,	-10.6791  ,	0.00295883  ,	-74.5647  ,	0.00987128  ,	-49.2046
43.2,	-79.2  ,	-30.5929  ,	-17.8908  ,	-17.6637  ,	0.00251726  ,	-104.122  ,	0.00386363  ,	-75.3879
50.4,	-79.2  ,	-25.5445  ,	-24.2533  ,	-21.8408  ,	0.00211534  ,	-137.597  ,	0.00191115  ,	126.204
57.6,	-79.2  ,	-26.4584  ,	-16.1113  ,	-15.7278  ,	0.00171954  ,	-173.984  ,	0.0055001  ,	83.617
64.8,	-79.2  ,	-28.7284  ,	-14.4113  ,	-14.2534  ,	0.00129246  ,	144.957  ,	0.00670526  ,	51.4835
72,	-79.2  ,	-31.7147  ,	-15.874  ,	-15.7623  ,	0.000915653  ,	90.8418  ,	0.00566627  ,	3.44086
79.2,	-79.2  ,	-32.1768  ,	-14.4895  ,	-14.4161  ,	0.000873853  ,	20.6614  ,	0.00664474  ,	-76.297
86.4,	-79.2  ,	-29.4579  ,	-8.52047  ,	-8.48561  ,	0.00118821  ,	-36.2645  ,	0.0132123  ,	-129.683
93.6,	-79.2  ,	-27.1484  ,	-4.21436  ,	-4.19232  ,	0.00156386  ,	-80.1446  ,	0.0216904  ,	-161.833
100.8,	-79.2  ,	-25.9299  ,	-1.66755  ,	-1.6513  ,	0.00196691  ,	-122.5  ,	0.0290705  ,	172.604
108,	-79.2  ,	-25.5554  ,	-0.606396  ,	-0.592523  ,	0.00265573  ,	-165.56  ,	0.0328069  ,	149.925
115.2,	-79.2  ,	-25.8207  ,	-1.13888  ,	-1.12413  ,	0.00399163  ,	156.03  ,	0.0307017  ,	128.984
122.4,	-79.2  ,	-26.5086  ,	-4.05568  ,	-4.03106  ,	0.0061551  ,	125.234  ,	0.021282  ,	108.919
129.6,	-79.2  ,	-26.9953  ,	-10.9678  ,	-10.8607  ,	0.00911593  ,	100.565  ,	0.00432972  ,	77.1278
136.8,	-79.2  ,	-33.656  ,	-3.51527  ,	-3.51107  ,	0.0127009  ,	80.179  ,	0.0197971  ,	-95.8993
144,	-79.2  ,	-27.5005  ,	3.19539  ,	3.19909  ,	0.0166251  ,	63.0874  ,	0.0481388  ,	-111.489
151.2,	-79.2  ,	-22.2777  ,	7.17632  ,	7.18124  ,	0.020529  ,	48.9285  ,	0.0778912  ,	-123.227
158.4,	-79.2  ,	-18.7322  ,	9.74526  ,	9.75142  ,	0.0240298  ,	37.6661  ,	0.105588  ,	-132.319
165.6,	-79.2  ,	-16.4045  ,	11.3843  ,	11.3915  ,	0.0267764  ,	29.4044  ,	0.128023  ,	-138.87
172.8,	-79.2  ,	-15.0609  ,	12.3088  ,	12.3168  ,	0.0284939  ,	24.2858  ,	0.142678  ,	-142.859
180,	-79.2  ,	-14.6064  ,	12.6188  ,	12.627  ,	0.0290144  ,	22.4368  ,	0.147967  ,	-144.262
187.2,	-79.2  ,	-15.0408  ,	12.3447  ,	12.3526  ,	0.0282945  ,	23.9419  ,	0.14333  ,	-143.086
194.4,	-79.2  ,	-16.4702  ,	11.459  ,	11.4659  ,	0.0264195  ,	28.8364  ,	0.129246  ,	-139.379
201.6,	-79.2  ,	-19.1996  ,	9.86549  ,	9.87087  ,	0.0235933  ,	37.1127  ,	0.107222  ,	-133.24
208.8,	-79.2  ,	-24.1514  ,	7.35536  ,	7.35843  ,	0.0201143  ,	48.7429  ,	0.0797125  ,	-124.827
216,	-79.2  ,	-36.9726  ,	3.46241  ,	3.46281  ,	0.0163349  ,	63.72  ,	0.0498928  ,	-114.437
223.2,	-79.2  ,	-30.9715  ,	-3.09099  ,	-3.08392  ,	0.0126121  ,	82.1308  ,	0.021245  ,	-103.136
230.4,	-79.2  ,	-37.3888  ,	-11.113  ,	-11.1028  ,	0.00925775  ,	104.263  ,	0.00325882  ,	113.16
237.6,	-79.2  ,	-25.875  ,	-4.22882  ,	-4.19919  ,	0.0064976  ,	130.705  ,	0.0207353  ,	113.968
244.8,	-79.2  ,	-23.8247  ,	-1.1575  ,	-1.13407  ,	0.00444253  ,	162.202  ,	0.030604  ,	131.229
252,	-79.2  ,	-23.8128  ,	-0.540218  ,	-0.519824  ,	0.00306367  ,	-161.214  ,	0.0330491  ,	150.802
259.2,	-79.2  ,	-24.9302  ,	-1.52805  ,	-1.50825  ,	0.00218265  ,	-121.389  ,	0.0295403  ,	172.32
266.4,	-79.2  ,	-27.2266  ,	-3.97736  ,	-3.95685  ,	0.00154415  ,	-80.3891  ,	0.0222909  ,	-163.67
273.6,	-79.2  ,	-31.3551  ,	-8.14155  ,	-8.12088  ,	0.000966577  ,	-35.3072  ,	0.0138008  ,	-134.771
280.8,	-79.2  ,	-39.182  ,	-14.453  ,	-14.4384  ,	0.000492749  ,	37.4999  ,	0.00666661  ,	-90.634
288,	-79.2  ,	-40.2417  ,	-18.4591  ,	-18.4304  ,	0.000714921  ,	140.758  ,	0.00416074  ,	-10.2437
295.2,	-79.2  ,	-33.5514  ,	-17.1707  ,	-17.0719  ,	0.00140561  ,	-167.378  ,	0.0047321  ,	45.5272
302.4,	-79.2  ,	-32.9732  ,	-18.8954  ,	-18.7289  ,	0.00220632  ,	-130.676  ,	0.00343094  ,	74.0526
309.6,	-79.2  ,	-36.5639  ,	-21.2433  ,	-21.1176  ,	0.00305135  ,	-99.8836  ,	0.000537597  ,	-22.8912
316.8,	-79.2  ,	-29.27  ,	-14.3021  ,	-14.1659  ,	0.00387108  ,	-73.5118  ,	0.00570925  ,	-51.6484
324,	-79.2  ,	-30.4218  ,	-9.00875  ,	-8.9775  ,	0.00457129  ,	-51.2105  ,	0.011672  ,	-36.8225
331.2,	-79.2  ,	-32.5589  ,	-5.82088  ,	-5.81169  ,	0.00506747  ,	-32.8494  ,	0.0173218  ,	-23.0343
338.4,	-79.2  ,	-35.1968  ,	-3.84533  ,	-3.84215  ,	0.00532003  ,	-18.4531  ,	0.0220074  ,	-11.6521
345.6,	-79.2  ,	-37.8766  ,	-2.66607  ,	-2.66476  ,	0.00534426  ,	-8.23136  ,	0.0253714  ,	-3.29607
352.8,	-79.2  ,	-39.7149  ,	-2.07172  ,	-2.07097  ,	0.00519391  ,	-2.54682  ,	0.0272725  ,	1.5454
